surnames,usa
Stewart	54	51	Decrease -3	312,899	115.99	12905.35	71.78	23.83	0.38	0.74	1.69	1.59
Flores	55	89	Increase 34	312,615	115.89	13021.23	5.57	0.47	2.15	0.43	0.54	90.84
Morris	56	53	Decrease -3	311,754	115.57	13136.8	75.92	19.29	0.43	0.93	1.7	1.73
Nguyen	57	228	Increase 172	310,125	114.96	13251.76	1.26	0.18	95.93	0.04	2.01	0.58
Murphy	58	59	Increase 1	300,501	111.39	13363.16	85.05	11.03	0.43	0.65	1.29	1.54
Rivera	59	61	Increase 2	299,463	111.01	13474.17	5.92	1.06	2.06	0.24	0.55	90.17
Cook	60	56	Decrease -4	294,795	109.28	13583.45	83.52	12.27	0.44	0.86	1.48	1.42
Rogers	61	54	Decrease -7	294,403	109.13	13692.58	77.8	17.66	0.42	0.77	1.58	1.77
Morgan	62	57	Decrease -5	276,400	102.46	13795.04	78.47	16.47	0.42	1.15	1.64	1.86
Peterson	63	68	Increase 5	275,041	101.96	13897	86.29	9.58	0.52	0.7	1.33	1.56
Cooper	64	66	Decrease -2	270,097	100.12	13997.12	70.36	25.26	0.4	0.76	1.69	1.54
Reed	65	55	Decrease -10	267,443	99.14	14096.26	73.51	21.97	0.4	1	1.67	1.45
Bailey	66	60	Decrease -6	265,916	98.57	14194.84	74.77	21.14	0.4	0.61	1.63	1.45
Bell	67	58	Decrease -9	264,752	98.14	14292.98	63.57	31.78	0.41	0.9	1.8	1.55
Gomez	68	121	Increase 53	263,590	97.71	14390.69	6.1	0.81	1.04	0.34	0.54	91.16
Kelly	69	74	Increase 5	260,385	96.52	14487.22	80.39	15.48	0.49	0.55	1.35	1.73
Howard	70	65	Decrease -5	254,779	94.45	14581.66	66.83	28.69	0.38	0.82	1.74	1.55
Ward	71	66	Decrease -5	254,121	94.2	14675.86	77.79	17.77	0.4	0.83	1.57	1.64
Cox	72	64	Decrease -8	253,771	94.07	14769.94	84.48	11.55	0.39	0.64	1.42	1.52
Diaz	73	99	Increase 26	251,772	93.33	14863.27	6.17	0.73	1.19	0.22	0.47	91.22
Richardson	74	63	Decrease -11	249,533	92.5	14955.77	62.25	32.77	0.36	1.05	1.82	1.75
Wood	75	78	Increase 3	247,299	91.67	15047.44	90.06	5.61	0.51	0.82	1.4	1.6
Watson	76	72	Decrease -4	242,432	89.87	15137.31	68.58	26.85	0.47	0.8	1.72	1.58
Brooks	77	73	Decrease -4	240,751	89.25	15226.56	62.72	32.67	0.41	0.75	1.83	1.62
Bennett	78	77	Decrease -1	239,055	88.62	15315.17	79	16.51	0.41	0.89	1.54	1.65
Gray	79	69	Decrease -10	236,713	87.75	15402.92	71.13	24.36	0.44	0.84	1.66	1.57
James	80	71	Decrease -9	233,224	86.46	15489.38	54.45	38.09	0.81	2.51	2.1	2.04
Reyes	81	141	Increase 60	232,511	86.19	15575.57	5.26	0.75	6.02	0.3	0.76	86.9
Cruz	82	118	Increase 36	231,065	85.66	15661.22	5.95	0.83	5.61	0.38	0.99	86.24
Hughes	83	88	Increase 5	229,390	85.03	15746.26	80.6	15.45	0.39	0.52	1.46	1.58
Price	84	76	Decrease -8	228,756	84.8	15831.06	76.11	19.79	0.42	0.64	1.58	1.46
Myers	85	101	Increase 16	224,824	83.34	15914.4	86.59	9.75	0.38	0.53	1.35	1.4
Long	86	86	0	223,494	82.85	15997.25	82.35	11.75	1.78	1.21	1.44	1.47
Foster	87	93	Increase 6	221,040	81.94	16079.19	72	23.19	0.46	0.86	1.78	1.7
Sanders	88	75	Decrease -13	220,902	81.89	16161.07	63.44	31.9	0.33	0.85	1.73	1.76
Ross	89	80	Decrease -9	219,961	81.54	16242.61	71.46	23.67	0.46	0.89	1.69	1.82
Morales	90	136	Increase 46	217,642	80.68	16323.29	5.6	0.6	1.24	0.25	0.44	91.88
Powell	91	85	Decrease -6	216,553	80.28	16403.57	69.96	25.97	0.38	0.56	1.71	1.41
Sullivan	92	105	Increase 13	215,640	79.94	16483.5	89.45	6.78	0.46	0.52	1.16	1.63
Russell	93	97	Increase 4	215,432	79.86	16563.36	79.45	15.79	0.43	1	1.7	1.63
Ortiz	94	120	Increase 26	214,683	79.58	16642.95	5.4	0.64	0.68	0.48	0.45	92.35
Jenkins	95	83	Decrease -12	213,737	79.23	16722.18	60.12	35.97	0.33	0.55	1.69	1.34
Gutierrez	96	202	Increase 106	212,905	78.92	16801.1	5.21	0.25	1.4	0.33	0.42	92.39
Perry	97	84	Decrease -13	212,644	78.83	16879.93	70.71	24.37	0.46	0.82	1.86	1.78
Butler	98	91	Decrease -7	210,879	78.17	16958.1	64.75	30.85	0.35	0.81	1.75	1.5
Barnes	99	79	Decrease -20	210,426	78	17036.1	67.45	28.23	0.4	0.72	1.71	1.49
Fisher	100	113	Increase 13	210,279	77.95	17114.05	84.59	11.28	0.42	0.71	1.42	1.58
